,time,EVI,lat,lon
252,2022-03-21,0.12286338855382023,4703320,385930
254,2022-03-29,0.046534358930772166,4703320,385930
261,2022-04-28,0.13900537767033402,4703320,385930
262,2022-04-30,0.13282214414585508,4703320,385930
263,2022-05-08,0.13701718350784026,4703320,385930
264,2022-05-10,0.14658693115519253,4703320,385930
265,2022-05-13,0.2159079204861469,4703320,385930
269,2022-05-25,0.48150725371120107,4703320,385930
270,2022-05-30,0.5826026144494055,4703320,385930
272,2022-06-04,0.5719557195571955,4703320,385930
273,2022-06-14,0.5644744992773074,4703320,385930
281,2022-07-04,0.47079361560629573,4703320,385930
283,2022-07-09,0.48532477043546846,4703320,385930
286,2022-07-17,0.4176736366502049,4703320,385930
287,2022-07-19,0.4535676370341397,4703320,385930
289,2022-07-29,0.4783756761606891,4703320,385930
291,2022-08-03,0.43329049194673086,4703320,385930
293,2022-08-08,0.43736501079913614,4703320,385930
298,2022-08-28,0.40391887246476443,4703320,385930
300,2022-09-02,0.4221647387083649,4703320,385930
301,2022-09-10,0.4238384087200173,4703320,385930
303,2022-09-17,0.37479564032697554,4703320,385930
307,2022-10-05,0.3102246995296987,4703320,385930
309,2022-10-15,0.2510559819144506,4703320,385930
310,2022-10-22,0.20598346449981536,4703320,385930
312,2022-10-30,0.1514423076923077,4703320,385930
313,2022-11-04,0.11409507923269394,4703320,385930
315,2022-11-09,0.11835700473428021,4703320,385930
320,2022-12-21,0.06979008872538413,4703320,385930
322,2022-12-29,0.062272007074689564,4703320,385930
323,2023-01-28,0.04992135676673733,4703320,385930
325,2023-02-14,0.12585227272727273,4703320,385930
326,2023-03-21,0.10240592227020356,4703320,385930
327,2023-03-26,0.1388448111710568,4703320,385930
328,2023-03-29,0.12017332039448442,4703320,385930
329,2023-04-03,0.11192646949818397,4703320,385930
330,2023-04-08,0.11568998109640834,4703320,385930
331,2023-04-10,0.12510703072971174,4703320,385930
