,lat,lon,mean
0,4699920,382800,
1,4699920,382810,
2,4699920,382820,
3,4699920,382830,
4,4699920,382840,
5,4699920,382850,
6,4699920,382860,
7,4699920,382870,
8,4699920,382880,
9,4699920,382890,
10,4699920,382900,
11,4699920,382910,
12,4699920,382920,
13,4699920,382930,
14,4699920,382940,
15,4699920,382950,
16,4699920,382960,
17,4699920,382970,
18,4699920,382980,
19,4699920,382990,0.3170965266341408
20,4699920,383000,0.31230884317286645
21,4699920,383010,0.30692883206765365
22,4699920,383020,0.3142248549883847
23,4699920,383030,0.32139400398677787
24,4699920,383040,0.32014237909474696
25,4699920,383050,0.30864220442374424
26,4699920,383060,0.31156867066303223
27,4699920,383070,0.31035588457937974
28,4699920,383080,0.3209855632343172
29,4699920,383090,0.31220004443272625
30,4699920,383100,0.29872984481231585
31,4699920,383110,0.3277152726856651
32,4699920,383120,0.35948724609627397
33,4699920,383130,0.37388958444036396
34,4699920,383140,0.3697205009797434
35,4699920,383150,0.36002248227019307
36,4699920,383160,0.35498714468097264
37,4699920,383170,0.3598186909518901
38,4699920,383180,0.3699133402084134
39,4699920,383190,0.3781122890511538
40,4699920,383200,0.3593847975252075
41,4699920,383210,0.3511060400150336
42,4699920,383220,0.304410673912871
43,4699920,383230,0.2687032646198272
44,4699920,383240,
45,4699920,383250,
46,4699920,383260,
47,4699920,383270,
48,4699920,383280,
49,4699920,383290,
50,4699920,383300,0.3179527201905739
51,4699920,383310,0.299088969546514
52,4699920,383320,0.3031685207634738
53,4699920,383330,0.2637289389608391
54,4699920,383340,0.2319198001493448
55,4699920,383350,0.2682691619025336
56,4699920,383360,0.29062761480954274
57,4699920,383370,0.30391778954876014
58,4699920,383380,0.3070729631105525
59,4699920,383390,0.28990944645014766
60,4699920,383400,0.28158881339412645
61,4699920,383410,0.3069362022604411
62,4699920,383420,0.3325994816635876
63,4699920,383430,0.35115542790618876
64,4699920,383440,0.3552372115942483
65,4699920,383450,0.3561582466495075
66,4699920,383460,0.3599902524669369
67,4699920,383470,0.3538524665414625
68,4699920,383480,0.3961177769669852
69,4699920,383490,0.41164808133493896
70,4699920,383500,0.4206105862250389
71,4699920,383510,0.4291751224650418
72,4699920,383520,0.38464114035185903
73,4699920,383530,0.34414653622129004
74,4699920,383540,0.3543349600193002
75,4699920,383550,0.36503259276087
76,4699920,383560,0.36939013432863743
77,4699920,383570,0.34798435121120397
78,4699920,383580,0.34923896956900746
79,4699920,383590,0.3609654863253476
80,4699920,383600,0.35836092292044414
81,4699920,383610,0.35903633447023797
82,4699920,383620,0.34576701705221125
83,4699920,383630,0.34496381624742545
84,4699920,383640,0.33479254387747087
85,4699920,383650,0.31279190418175684
86,4699920,383660,0.29555456415492626
87,4699920,383670,0.3183109105841451
88,4699920,383680,0.33966727891141113
89,4699920,383690,
90,4699920,383700,
91,4699920,383710,0.33188776527905284
92,4699920,383720,0.34085581235021245
93,4699920,383730,0.3102603206090835
94,4699920,383740,
95,4699920,383750,
96,4699920,383760,
97,4699920,383770,
98,4699920,383780,
99,4699920,383790,
100,4699920,383800,0.20985983987440351
101,4699920,383810,0.2899598642749872
102,4699920,383820,0.2982443364622678
103,4699920,383830,
104,4699920,383840,
105,4699920,383850,
106,4699920,383860,0.3521118686918033
107,4699920,383870,0.3621577686487774
108,4699920,383880,0.3599817801422742
109,4699920,383890,0.3592392731099235
110,4699920,383900,0.35632301115262477
111,4699920,383910,0.3494722476069773
112,4699920,383920,0.33052043269497233
113,4699920,383930,0.271533028098491
114,4699920,383940,0.2059393946288445
115,4699920,383950,0.20705321252723208
116,4699920,383960,0.2682250342362978
117,4699920,383970,0.3064060764028298
118,4699920,383980,0.32550889383492854
119,4699920,383990,0.3514761216231359
120,4699920,384000,0.35559661509793855
121,4699920,384010,0.35174730297610796
122,4699920,384020,0.3620128655933938
123,4699920,384030,0.36796582740690825
124,4699920,384040,0.3797198174697529
125,4699920,384050,0.3821933160357079
126,4699920,384060,0.37234666590564125
127,4699920,384070,0.36403041240440653
128,4699920,384080,0.3376556835700439
129,4699920,384090,0.3358466388625988
130,4699920,384100,0.3444975049667309
131,4699920,384110,0.3507642014240662
132,4699920,384120,0.33340721970738696
133,4699920,384130,0.29961007000235
134,4699920,384140,0.3000013868444415
135,4699920,384150,0.3197425716487615
136,4699920,384160,0.3423298487246619
137,4699920,384170,0.3470983050459121
138,4699920,384180,0.35122896348696986
139,4699920,384190,0.35675833351725583
140,4699920,384200,0.3707509454192646
141,4699920,384210,0.3654072922175863
142,4699920,384220,0.35111356481661105
143,4699920,384230,0.35470725872217473
144,4699920,384240,0.36073711966855365
145,4699920,384250,0.36165468520764493
146,4699920,384260,0.3539073374121823
147,4699920,384270,0.34183491180084263
148,4699920,384280,0.3377939249360572
149,4699920,384290,0.34326672887648046
150,4699920,384300,0.3470228104899626
151,4699920,384310,0.34727919240468946
152,4699920,384320,0.3401790897144202
153,4699920,384330,0.33810426889364903
154,4699920,384340,0.34058804539943643
155,4699920,384350,0.3516457379380669
156,4699920,384360,0.35532180077687536
157,4699920,384370,0.3524971854905678
158,4699920,384380,0.3570584461165261
159,4699920,384390,0.3612746577615529
160,4699920,384400,0.3612936080616549
161,4699920,384410,0.3613499550542681
162,4699920,384420,0.3574340390649162
163,4699920,384430,0.3566391920832384
164,4699920,384440,0.3592101332947363
165,4699920,384450,0.35507275925584836
166,4699920,384460,0.3417103048290321
167,4699920,384470,0.3331360147298538
168,4699920,384480,0.3411704913354115
169,4699920,384490,0.35401429287592395
170,4699930,382800,
171,4699930,382810,
172,4699930,382820,
173,4699930,382830,
174,4699930,382840,
175,4699930,382850,
176,4699930,382860,
177,4699930,382870,
178,4699930,382880,
179,4699930,382890,
180,4699930,382900,
181,4699930,382910,
182,4699930,382920,
183,4699930,382930,
184,4699930,382940,
185,4699930,382950,
186,4699930,382960,
187,4699930,382970,
188,4699930,382980,
189,4699930,382990,
190,4699930,383000,0.29588839864330035
191,4699930,383010,0.305761937475913
192,4699930,383020,0.3059314018501297
193,4699930,383030,0.320737887819989
194,4699930,383040,0.31960676409508715
195,4699930,383050,0.3073427881332722
196,4699930,383060,0.32190824475594026
197,4699930,383070,0.32761426376780134
198,4699930,383080,0.3414629548919144
199,4699930,383090,0.3487874623010848
200,4699930,383100,0.3384236545440008
201,4699930,383110,0.33280059283127195
202,4699930,383120,0.3498650794648485
203,4699930,383130,0.3692648429602214
204,4699930,383140,0.36653255512917565
205,4699930,383150,0.3512768481021911
206,4699930,383160,0.345397601229061
207,4699930,383170,0.3486069392816434
208,4699930,383180,0.3525392361154377
209,4699930,383190,0.3621425576795845
210,4699930,383200,0.3483488800320739
211,4699930,383210,0.35198969573346695
212,4699930,383220,0.3305788235065221
213,4699930,383230,0.290081626957042
214,4699930,383240,0.30072476248651475
215,4699930,383250,0.3038672873976211
216,4699930,383260,0.3054293305290945
217,4699930,383270,
218,4699930,383280,
219,4699930,383290,
220,4699930,383300,
221,4699930,383310,0.3211023535587873
222,4699930,383320,0.3270210318881472
223,4699930,383330,0.31166176249307176
224,4699930,383340,0.30165258891039826
225,4699930,383350,0.3013673852950553
226,4699930,383360,0.2983216998049239
227,4699930,383370,0.31378882334759783
228,4699930,383380,0.3259685930857534
229,4699930,383390,0.3304001159272472
230,4699930,383400,0.3099246076607207
231,4699930,383410,0.3060481408500463
232,4699930,383420,0.33347384243799805
233,4699930,383430,0.35300421609143356
234,4699930,383440,0.35677453661943975
235,4699930,383450,0.3554455067714096
236,4699930,383460,0.3610369329479616
237,4699930,383470,0.3584003631221258
238,4699930,383480,0.3906642677690476
239,4699930,383490,0.40235342265681
240,4699930,383500,0.4037607955832329
241,4699930,383510,0.3963052999993182
242,4699930,383520,0.36512301516258516
243,4699930,383530,0.3479064093763351
244,4699930,383540,0.35397622095075143
245,4699930,383550,0.36538778144495054
246,4699930,383560,0.3675358222144996
247,4699930,383570,0.353689830820289
248,4699930,383580,0.3556365307672073
249,4699930,383590,0.3531938048735154
250,4699930,383600,0.3560395141997464
251,4699930,383610,0.36613217844352525
252,4699930,383620,0.3586648607802955
253,4699930,383630,0.35188786082017615
254,4699930,383640,0.3383954210869325
255,4699930,383650,0.32465760250088327
256,4699930,383660,0.28430348118354665
257,4699930,383670,0.27130115420522793
258,4699930,383680,
259,4699930,383690,
260,4699930,383700,
261,4699930,383710,0.31714447915088506
262,4699930,383720,0.33086992460031894
263,4699930,383730,0.29387264354542214
264,4699930,383740,
265,4699930,383750,
266,4699930,383760,
267,4699930,383770,
268,4699930,383780,
269,4699930,383790,
270,4699930,383800,
271,4699930,383810,
272,4699930,383820,
273,4699930,383830,
274,4699930,383840,
275,4699930,383850,
276,4699930,383860,0.3256757298743038
277,4699930,383870,0.34981035406422284
278,4699930,383880,0.3500107348492997
279,4699930,383890,0.35587610555505467
280,4699930,383900,0.35458393331368276
281,4699930,383910,0.3506824083314893
282,4699930,383920,
283,4699930,383930,
284,4699930,383940,
285,4699930,383950,
286,4699930,383960,0.20531651589972696
287,4699930,383970,0.23231345977908313
288,4699930,383980,0.287037907396695
289,4699930,383990,0.3304166500629871
290,4699930,384000,0.3483990533794753
291,4699930,384010,0.36843553215982644
292,4699930,384020,0.3851083512853382
293,4699930,384030,0.3759749975964606
294,4699930,384040,0.3687268194892633
295,4699930,384050,0.36303295932038393
296,4699930,384060,0.3545169316608529
297,4699930,384070,0.34808114005233454
298,4699930,384080,0.341598848720079
299,4699930,384090,0.3399104363482967
300,4699930,384100,0.3389721180322696
301,4699930,384110,0.342725123018916
302,4699930,384120,0.3461599315762383
303,4699930,384130,0.3295452697787503
304,4699930,384140,0.32526759961583196
305,4699930,384150,0.33188996522542763
306,4699930,384160,0.34559358666950346
307,4699930,384170,0.3498663509777223
308,4699930,384180,0.3601880093197012
309,4699930,384190,0.36115006009784273
310,4699930,384200,0.3553010377336894
311,4699930,384210,0.3537195237174252
312,4699930,384220,0.3493229520830664
313,4699930,384230,0.3564308168488851
314,4699930,384240,0.3657953801566328
